Groups:
FMC_A[14..0] =, FMC_A[14], FMC_A[13], FMC_A[12], FMC_A[11], FMC_A[10], FMC_A[9], FMC_A[8], FMC_A[7], FMC_A[6], FMC_A[5], FMC_A[4], FMC_A[3], FMC_A[2], FMC_A[1], FMC_A[0],  hex
FMC_D[15..0] =, FMC_D[15], FMC_D[14], FMC_D[13], FMC_D[12], FMC_D[11], FMC_D[10], FMC_D[9], FMC_D[8], FMC_D[7], FMC_D[6], FMC_D[5], FMC_D[4], FMC_D[3], FMC_D[2], FMC_D[1], FMC_D[0],  hex
DAC_D[9..0] =, DAC_D[9], DAC_D[8], DAC_D[7], DAC_D[6], DAC_D[5], DAC_D[4], DAC_D[3], DAC_D[2], DAC_D[1], DAC_D[0],  hex

Data:
time unit: ns, FMC_A[14..0], FMC_A[14], FMC_A[13], FMC_A[12], FMC_A[11], FMC_A[10], FMC_A[9], FMC_A[8], FMC_A[7], FMC_A[6], FMC_A[5], FMC_A[4], FMC_A[3], FMC_A[2], FMC_A[1], FMC_A[0], FMC_D[15..0], FMC_D[15], FMC_D[14], FMC_D[13], FMC_D[12], FMC_D[11], FMC_D[10], FMC_D[9], FMC_D[8], FMC_D[7], FMC_D[6], FMC_D[5], FMC_D[4], FMC_D[3], FMC_D[2], FMC_D[1], FMC_D[0], FMC_NE1, FMC_NOE, FMC_NWE, DAC_D[9..0], DAC_D[9], DAC_D[8], DAC_D[7], DAC_D[6], DAC_D[5], DAC_D[4], DAC_D[3], DAC_D[2], DAC_D[1], DAC_D[0], dac_enable, 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, 
8, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11F9, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11F9, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11F9, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
32, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11F9, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
40, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11FC, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
48, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11FC, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
56, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11FC, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
64, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11FC, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
72, 0417, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 11FC, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
